"Scenario","Model","Method","Prior","STD_v1","STD_v2","STD_v3","ARB_v1","ARB_v2","ARB_v3","RRMSE_v1","RRMSE_v2","RRMSE_v3"
"Unequal","T","Hier","Pareto",0.195732874961219,0.198605653633153,0.207858192398385,0.407027985615587,0.205022612790541,0.997223049250949,0.457155416380911,0.235935407835595,1.11459033838108
"Unequal","T","Non-Hier","Pareto",0.181077440240631,0.188762148804952,0.194435226655145,0.400292783928858,0.20483195725924,0.996295873485316,0.445369228218362,0.229700854618174,1.11123080617812
"Unequal","T","Hier","TG",0.195689614911863,0.193728006137493,0.205764742236082,0.404531150982551,0.199691199533688,0.997828058756985,0.45378073991295,0.228316699153971,1.11575503949419
"Unequal","T","Non-Hier","TG",0.200756167028184,0.190176676262969,0.193659181562025,0.401358210622733,0.200461380968784,0.997549558179524,0.449795255943003,0.228383235368114,1.11245345646528
"Unequal","VG","Hier","Asis",0.188914121072553,0.200671139372443,0.206998122380343,0.811318761550546,0.196122809754296,0.603317192776448,0.904094760107883,0.222446018199175,0.676046309577596
"Unequal","VG","Non-Hier","Asis",0.189243842015899,0.20360702415571,0.209668327140774,0.805285264101985,0.199716924460842,0.601504937277954,0.894759496747489,0.227831849551761,0.674286415136601
"Unequal","VG","Hier","Jeffreys",0.217401599465424,0.192574414558091,0.204833992995925,0.80970530680369,0.201417683074777,0.603859075692322,0.903928464307913,0.226512015233509,0.673813028782323
"Unequal","VG","Non-Hier","Jeffreys",0.201578581682407,0.218704583316013,0.20704015509,0.807998152609575,0.20412982226761,0.591521901054975,0.902180380156623,0.234406434504316,0.658976223470431
"Unequal","VG","Hier","Pareto",0.174531249312061,0.200615015664618,0.199293782799249,0.806277035454374,0.195156908189106,0.602229693359419,0.900402935798196,0.218606563254544,0.673994921253491
"Unequal","VG","Non-Hier","Pareto",0.210446825137703,0.188573458419924,0.185927605922595,0.803097654950911,0.201000122646926,0.601554033746491,0.897971157163863,0.225029497737221,0.673251166254546
"Unequal","VG","Hier","TG",0.195679128418657,0.204012644470329,0.202217959866242,0.799787538402526,0.188481586221791,0.595631555273308,0.890001818300634,0.208342973433083,0.66609798920285
"Unequal","VG","Non-Hier","TG",0.203742915056661,0.193658406727088,0.219221175016621,0.793114453141713,0.195106005827858,0.595356234515174,0.881084674921436,0.219199432529853,0.663638757038979
